date,avg_nitrogen_dioxide,max_nitrogen_dioxide,min_nitrogen_dioxide,max_time_nitrogen_dioxide,min_time_nitrogen_dioxide,avg_ozone,max_ozone,min_ozone,max_time_ozone,min_time_ozone,avg_sulphur_dioxide,max_sulphur_dioxide,min_sulphur_dioxide,max_time_sulphur_dioxide,min_time_sulphur_dioxide,avg_pm2_5,max_pm2_5,min_pm2_5,max_time_pm2_5,min_time_pm2_5,avg_pm10,max_pm10,min_pm10,max_time_pm10,min_time_pm10,pm2_5_avgdRolls,pm10_avgdRolls,eaqi,nitrogen_dioxide_eaqi,ozone_eaqi,sulphur_dioxide_eaqi,pm2_5_eaqi,pm10_eaqi,avg_temperature_2m,min_temperature_2m,max_temperature_2m,avg_apparent_temperature,avg_relative_humidity_2m,avg_dew_point_2m,sum_precipitation,sum_rain,avg_pressure_msl,avg_surface_pressure,avg_cloud_cover,sum_et0_fao_evapotranspiration,avg_vapour_pressure_deficit,max_wind_speed_10m,max_wind_speed_100m,avg_wind_direction_10m,avg_wind_direction_100m,max_wind_gusts_10m,avg_soil_temperature_0_to_7cm,avg_soil_temperature_7_to_28cm,avg_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,avg_shortwave_radiation,avg_direct_radiation,avg_diffuse_radiation,avg_direct_normal_irradiance,avg_global_tilted_irradiance,avg_terrestrial_radiation
2020-01-01,50.6125,69.3,35.9,19:00:00,07:00:00,5.458333333333333,25.0,0.0,15:00:00,01:00:00,4.783333333333333,6.6,3.4,00:00:00,23:00:00,44.39166666666667,69.6,30.0,02:00:00,16:00:00,54.55,76.3,38.7,22:00:00,06:00:00,57.90694444444444,65.78993055555556,5,2,1,1,5,4,1.0,-2.3,7.5,-2.4478260869565216,83.73913043478261,-1.547826086956522,0.0,0.0,1031.695652173913,1013.2608695652174,0.0,0.64,0.1230434782608695,9.8,19.8,141.04347826086956,146.17391304347825,21.2,0.7695652173913043,3.030434782608696,0.366695652173913,0.3751304347826087,80.34782608695652,63.78260869565217,16.565217391304348,230.8304347826087,80.34782608695652,127.11739130434783
2020-01-02,56.67083333333333,69.5,45.0,22:00:00,12:00:00,3.875,16.0,0.0,14:00:00,00:00:00,4.329166666666667,5.8,3.1,22:00:00,00:00:00,45.80833333333334,57.8,34.0,00:00:00,15:00:00,59.91666666666666,73.5,45.9,00:00:00,06:00:00,45.2046875,57.76597222222222,4,2,1,1,4,4,0.2916666666666667,-3.1,6.7,-3.15,78.83333333333333,-3.1291666666666664,0.0,0.0,1033.275,1014.7541666666666,2.375,0.66,0.1520833333333333,10.0,14.6,264.5416666666667,238.125,18.0,-0.7708333333333334,1.425,0.3717916666666667,0.3782083333333333,75.79166666666667,59.625,16.166666666666668,214.45416666666665,75.79166666666667,122.45416666666668
2020-01-03,59.3125,80.0,42.5,20:00:00,07:00:00,1.9583333333333333,7.0,0.0,14:00:00,04:00:00,5.325,6.9,3.6,11:00:00,01:00:00,49.833333333333336,61.6,39.9,23:00:00,15:00:00,57.645833333333336,66.5,43.1,19:00:00,05:00:00,47.18090277777778,58.237326388888896,4,2,1,1,4,4,1.3166666666666669,-2.2,7.7,-2.0,82.29166666666667,-1.4916666666666665,0.0,0.0,1028.0875,1009.7291666666666,28.83333333333333,0.56,0.1354166666666666,9.9,19.9,296.125,278.25,14.4,-0.2375,1.4708333333333332,0.3769583333333333,0.3797083333333333,59.75,28.041666666666668,31.70833333333333,96.87083333333334,59.75,123.14583333333331
2020-01-04,49.55833333333334,66.7,40.4,18:00:00,06:00:00,4.5,15.0,0.0,15:00:00,06:00:00,3.954166666666667,4.9,1.9,04:00:00,23:00:00,26.741666666666664,62.6,10.3,00:00:00,23:00:00,30.941666666666663,66.1,11.8,00:00:00,23:00:00,41.88541666666666,48.47291666666666,4,2,1,1,4,3,3.954166666666667,-2.4,9.0,0.3583333333333333,73.83333333333333,-0.6208333333333332,0.0,0.0,1024.3125,1006.1833333333334,7.0,1.03,0.2458333333333333,18.7,37.8,290.75,286.125,32.4,2.283333333333333,2.5708333333333333,0.3807083333333333,0.3834583333333333,74.20833333333333,56.29166666666666,17.916666666666668,202.57916666666665,74.20833333333333,123.8875
2020-01-05,54.425,83.8,38.5,21:00:00,03:00:00,8.791666666666666,34.0,0.0,15:00:00,07:00:00,3.1208333333333336,4.2,1.7,21:00:00,02:00:00,19.416666666666668,42.3,4.6,22:00:00,04:00:00,24.23333333333333,51.3,4.9,21:00:00,04:00:00,15.741493055555557,19.141493055555557,2,2,1,1,2,1,5.483333333333333,1.3,10.7,1.9208333333333332,64.70833333333333,-1.025,0.0,0.0,1027.9666666666667,1009.8791666666666,0.5,1.2,0.34375,13.8,31.9,122.25,97.29166666666669,24.1,3.75,3.775,0.3757083333333333,0.3810833333333334,77.91666666666667,61.54166666666666,16.375,218.57916666666665,77.91666666666667,124.6875
2020-01-06,48.18333333333334,61.5,34.6,23:00:00,14:00:00,5.166666666666667,23.0,0.0,14:00:00,00:00:00,3.2416666666666667,5.1,2.2,21:00:00,00:00:00,37.16666666666666,59.0,27.1,23:00:00,06:00:00,44.24166666666667,65.7,28.2,23:00:00,06:00:00,30.269618055555554,37.395833333333336,4,2,1,1,4,2,1.7291666666666667,-2.3,6.2,-1.3125,88.33333333333333,-0.0666666666666666,0.0,0.0,1031.9791666666667,1013.575,1.4583333333333333,0.61,0.0908333333333333,11.8,21.0,165.04166666666666,109.875,22.3,1.8375,3.1291666666666664,0.3733333333333333,0.378625,78.08333333333333,61.583333333333336,16.5,217.35,78.08333333333333,125.52916666666664
2020-01-07,49.81666666666666,65.4,38.9,23:00:00,06:00:00,3.333333333333333,13.0,0.0,14:00:00,00:00:00,4.525,7.1,2.8,12:00:00,05:00:00,58.7375,75.3,46.6,23:00:00,16:00:00,66.47916666666667,82.1,55.8,22:00:00,17:00:00,50.00989583333333,57.16736111111111,5,2,1,1,5,4,-0.8500000000000001,-2.8,3.9,-4.05,93.875,-1.7458333333333331,0.0,0.0,1028.4541666666669,1009.9458333333332,45.16666666666666,0.43,0.04125,10.2,12.8,204.75,218.25,15.8,-0.5791666666666667,1.825,0.3718333333333333,0.3766666666666666,59.208333333333336,31.83333333333333,27.375,110.68333333333334,59.208333333333336,126.40833333333336
2020-01-08,57.19583333333333,69.1,42.9,02:00:00,12:00:00,2.5,11.0,0.0,12:00:00,00:00:00,4.854166666666667,6.6,2.9,20:00:00,07:00:00,54.6625,78.5,37.4,23:00:00,07:00:00,62.958333333333336,79.8,40.5,21:00:00,07:00:00,56.10208333333333,64.12222222222222,5,2,1,1,5,4,-1.1375,-4.0,3.7,-4.425,91.125,-2.475,0.0,0.0,1031.7875,1013.2,45.125,0.48,0.0570833333333333,13.1,23.0,235.08333333333331,229.41666666666663,23.0,-1.491666666666667,0.9041666666666668,0.3705416666666667,0.3752916666666666,63.125,36.333333333333336,26.791666666666668,124.82916666666668,63.125,127.34166666666664
2020-01-09,60.89166666666667,80.8,40.5,16:00:00,05:00:00,1.9166666666666667,9.0,0.0,15:00:00,00:00:00,5.1375,7.3,3.6,23:00:00,02:00:00,60.84166666666667,82.9,44.4,00:00:00,16:00:00,65.01666666666667,81.1,47.2,01:00:00,16:00:00,61.253993055555554,66.23454861111111,5,2,1,1,5,4,0.0749999999999999,-3.8,7.7,-3.4166666666666665,81.16666666666667,-3.0625,0.0,0.0,1027.8916666666669,1009.4583333333334,31.375,0.68,0.14625,9.4,15.9,280.2916666666667,278.7916666666667,18.0,-2.0708333333333333,0.3208333333333333,0.369625,0.374125,72.33333333333333,48.958333333333336,23.375,168.775,72.33333333333333,128.32083333333333
2020-01-10,65.07083333333334,77.0,54.6,00:00:00,06:00:00,1.5416666666666667,7.0,0.0,12:00:00,00:00:00,5.391666666666667,7.3,3.7,00:00:00,05:00:00,45.82083333333333,67.0,33.5,23:00:00,13:00:00,51.7625,69.8,37.5,23:00:00,06:00:00,49.22048611111112,55.286111111111104,4,2,1,1,4,4,2.5291666666666663,-1.4,7.3,-0.3,89.83333333333333,0.9833333333333334,0.2,0.2,1025.0416666666667,1006.8208333333332,60.91666666666666,0.45,0.0825,9.9,12.5,252.375,222.54166666666663,15.1,0.1208333333333333,0.4541666666666666,0.3699583333333333,0.3735416666666666,44.708333333333336,22.416666666666668,22.291666666666668,79.24166666666666,44.708333333333336,129.35
